sample_id	pop_name
Kazak_IliKazakh380	Kazakh_Xinjiang
Kazak_IliKazakh381	Kazakh_Xinjiang
Kazak_IliKazakh389	Kazakh_Xinjiang
Kazak_IliKazakh390	Kazakh_Xinjiang
Kazak_IliKazakh391	Kazakh_Xinjiang
Kazak_IliKazakh392	Kazakh_Xinjiang
Kazak_IliKazakh399	Kazakh_Xinjiang
Kazak_IliKazakh402	Kazakh_Xinjiang
Kazak_IliKazakh403	Kazakh_Xinjiang
Kazak_IliKazakh404	Kazakh_Xinjiang
Kazak_IliKazakh405	Kazakh_Xinjiang
Kazak_IliKazakh410	Kazakh_Xinjiang
Kazak_IliKazakh422	Kazakh_Xinjiang
Kazak_IliKazakh424	Kazakh_Xinjiang
Kazak_IliKazakh431	Kazakh_Xinjiang
Kazak_IliKazakh432	Kazakh_Xinjiang
Kazak_IliKazakh436	Kazakh_Xinjiang
Kazak_IliKazakh442	Kazakh_Xinjiang
Kazak_IliKazakh448	Kazakh_Xinjiang
Kazak_IliKazakh450	Kazakh_Xinjiang
Kazak_IliKazakh458	Kazakh_Xinjiang
Kazak_IliKazakh467	Kazakh_Xinjiang
Kazak_IliKazakh468	Kazakh_Xinjiang
Kazak_IliKazakh469	Kazakh_Xinjiang
Kazak_IliKazakh476	Kazakh_Xinjiang
Kazak_IliKazakh494	Kazakh_Xinjiang
Kazak_IliKazakh504	Kazakh_Xinjiang
Kazak_IliKazakh507	Kazakh_Xinjiang
Kazak_IliKazakh510	Kazakh_Xinjiang
Kazak_IliKazakh514	Kazakh_Xinjiang
Kazak_IliKazakh515	Kazakh_Xinjiang
Kazak_IliKazakh523	Kazakh_Xinjiang
Kazak_IliKazakh525	Kazakh_Xinjiang
Kazak_IliKazakh527	Kazakh_Xinjiang
Kazak_IliKazakh528	Kazakh_Xinjiang
Kazak_IliKazakh533	Kazakh_Xinjiang
Kazak_IliKazakh546	Kazakh_Xinjiang
Kazak_IliKazakh547	Kazakh_Xinjiang
Kazak_IliKazakh550	Kazakh_Xinjiang
Kazak_IliKazakh552	Kazakh_Xinjiang
Kazak_IliKazakh556	Kazakh_Xinjiang
Kazak_IliKazakh560	Kazakh_Xinjiang
Kazak_IliKazakh562	Kazakh_Xinjiang
Kazak_IliKazakh564	Kazakh_Xinjiang
Kazak_IliKazakh570	Kazakh_Xinjiang
Kazak_IliKazakh571	Kazakh_Xinjiang
Kazak_IliKazakh574	Kazakh_Xinjiang
Kazak_IliKazakh576	Kazakh_Xinjiang
Kazak_IliKazakh578	Kazakh_Xinjiang
Kazak_IliKazakh584	Kazakh_Xinjiang
Kazak_IliKazakh599	Kazakh_Xinjiang
Kazak_IliKazakh607	Kazakh_Xinjiang
Kazak_IliKazakh610	Kazakh_Xinjiang
Kazak_IliKazakh611	Kazakh_Xinjiang
Kazak_IliKazakh612	Kazakh_Xinjiang
Kazak_IliKazakh613	Kazakh_Xinjiang
Kazak_IliKazakh619	Kazakh_Xinjiang
Kazak_IliKazakh633	Kazakh_Xinjiang
Kazak_IliKazakh636	Kazakh_Xinjiang
Kazak_IliKazakh648	Kazakh_Xinjiang
Kazak_IliKazakh652	Kazakh_Xinjiang
Kazak_IliKazakh657	Kazakh_Xinjiang
Kazak_IliKazakh659	Kazakh_Xinjiang
Kazak_IliKazakh660	Kazakh_Xinjiang
Kazak_IliKazakh666	Kazakh_Xinjiang
Kazak_IliKazakh672	Kazakh_Xinjiang
Kazak_IliKazakh674	Kazakh_Xinjiang
Kazak_IliKazakh675	Kazakh_Xinjiang
Kazak_IliKazakh676	Kazakh_Xinjiang
Kazak_IliKazakh681	Kazakh_Xinjiang
Kazak_IliKazakh683	Kazakh_Xinjiang
Kazak_IliKazakh684	Kazakh_Xinjiang
Kazak_IliKazakh685	Kazakh_Xinjiang
Kazak_IliKazakh688	Kazakh_Xinjiang
Kazak_IliKazakh704	Kazakh_Xinjiang
Kazak_IliKazakh706	Kazakh_Xinjiang
Kazak_IliKazakh716	Kazakh_Xinjiang
Kazak_IliKazakh724	Kazakh_Xinjiang
Kazak_IliKazakh742	Kazakh_Xinjiang
Kazak_IliKazakh746	Kazakh_Xinjiang
Kazak_Karamay320	Kazakh_Xinjiang
Kazak_Karamay364	Kazakh_Xinjiang
Kazak_Karamay406	Kazakh_Xinjiang
Kazak_Karamay409	Kazakh_Xinjiang
Kazak_Karamay459	Kazakh_Xinjiang
Kazak_Karamay491	Kazakh_Xinjiang
Kazak_Karamay521	Kazakh_Xinjiang
Kazak_Karamay534	Kazakh_Xinjiang
Kazak_Karamay544	Kazakh_Xinjiang
Kazak_Karamay583	Kazakh_Xinjiang
Kazak_Karamay691	Kazakh_Xinjiang
Kazak_Karamay696	Kazakh_Xinjiang
Kazak_Kazakhstan263	Kazakh_Xinjiang
Kazak_Kazakhstan264	Kazakh_Xinjiang
Kazak_Kazakhstan265	Kazakh_Xinjiang
Kazak_Kazakhstan266	Kazakh_Xinjiang
Kazak_Kazakhstan267	Kazakh_Xinjiang
Kazak_Kazakhstan268	Kazakh_Xinjiang
Kazak_Kazakhstan269	Kazakh_Xinjiang
Kazak_Kazakhstan270	Kazakh_Xinjiang
Kazak_Lhasa277	Kazakh_Xinjiang
Kazak_Mongoliania271	Kazakh_Xinjiang
Kazak_Pingdingshan260	Kazakh_Xinjiang
Kazak_Russia274	Kazakh_Xinjiang
Kazak_Shanghai276	Kazakh_Xinjiang
