group	original_n_samples	resample_n	bootstrap_replicates_requested	n_valid_bootstrap	metric	full_data_value	bootstrap_mean	bootstrap_sd	bootstrap_p2_5	bootstrap_p50	bootstrap_p97_5
Koryak	78	20	50	50	haplotype_diversity	0.9637029637029636	0.9501052665710449	0.021424086800891216	0.9117105439305305	0.9526315927505493	0.9830263286828995
Kyrgyz	125	20	50	50	pi	0.0023228843420873	0.002324543404392898	0.00010874607485092734	0.002108796901302412	0.0023277641739696264	0.0025475176458712666
Kyrgyz	125	20	50	50	theta_w	0.0073740335889287	0.003956381021998823	0.0003491673104466488	0.003240139683475718	0.003938009263947606	0.0045210558571852745
Kyrgyz	125	20	50	50	tajima_d	-2.2833790407274366	-1.702748875617981	0.16683269408662058	-1.96220243871212	-1.7123838067054749	-1.3680733680725097
Kyrgyz	125	20	50	50	haplotype_diversity	0.9947096774193548	0.9891579008102417	0.00739918979141116	0.9736841917037964	0.9894737005233765	1.0
Lachi	36	20	50	50	pi	0.0021593815558812	0.0020804434060119094	0.00015011194929922118	0.0017762125964509324	0.0021139979362487793	0.0023275815299712123
Lachi	36	20	50	50	theta_w	0.0022266798472745	0.0019882269389927387	0.0002554038108182131	0.0014497488096822052	0.0020327953388914466	0.002407884353306144
Lachi	36	20	50	50	tajima_d	-0.1133866073037347	0.2339793437276967	0.40077795072250766	-0.3402192767709493	0.1947823166847229	1.054140391945839
Lachi	36	20	50	50	haplotype_diversity	0.946031746031746	0.9187368404865265	0.022969568997273388	0.8707894951105117	0.9263157844543457	0.9514473840594292
Lachungpa	25	20	50	50	pi	0.0019374371353852	0.0018051901063881814	0.00012890882445166073	0.0015374011796666308	0.0018157418235205114	0.002001477038720623
Lachungpa	25	20	50	50	theta_w	0.0024293713422588	0.002079405039548874	0.0002229798617555711	0.0016598326794337482	0.0020583115983754396	0.002468272834084928
Lachungpa	25	20	50	50	tajima_d	-0.8041059920323705	-0.5217379737272858	0.2835797381840871	-0.9036320254206658	-0.5813819766044617	0.02040366143919526
Lachungpa	25	20	50	50	haplotype_diversity	0.9933333333333332	0.9509473657608032	0.0203960770728016	0.9047368243336678	0.9526315927505493	0.977763132750988
Lahu	90	20	50	50	pi	0.0022219811234749	0.00219737000297755	0.00011865689900271	0.0020266413630452007	0.0021927707130089402	0.0024031540204305204
Lahu	90	20	50	50	theta_w	0.0037127792197259	0.0025948334811255335	0.0003637012961946163	0.002001750556519255	0.002560131368227303	0.003402167931199074
Lahu	90	20	50	50	tajima_d	-1.3692750826476845	-0.5893372743856162	0.34438775606540484	-1.2308320432901383	-0.591316282749176	0.05668787620961665
Lahu	90	20	50	50	haplotype_diversity	0.9550561797752808	0.9468421018123627	0.0272110882468945	0.8999999761581421	0.9526315927505493	0.9842105507850647
Lao	85	20	50	50	pi	0.0024687895677281	0.0024277292471379043	0.00013263437812520353	0.002163683617254719	0.002435917849652469	0.0026516770478338
Lao	85	20	50	50	theta_w	0.0062107664631438	0.0035385948605835436	0.0003309819768919004	0.0027791459287982434	0.003555265488103032	0.004195298277772963
Lao	85	20	50	50	tajima_d	-2.075672917190899	-1.2884800839424133	0.20763863027463558	-1.5847906053066254	-1.3331679701805115	-0.97748122215271
Lao	85	20	50	50	haplotype_diversity	0.9949579831932772	0.9810526371002197	0.011434512617908984	0.9550000101327896	0.9842105507850647	0.9988157913088799
Lao_Isan	100	20	50	50	pi	0.0025870899703126	0.002567684133537114	0.00010388918064136552	0.002341970318229869	0.002581075532361865	0.0027285439369734376
Lao_Isan	100	20	50	50	theta_w	0.0065626017945903	0.0035821425728499888	0.00043647422386788496	0.0027748932188842446	0.003580781747587025	0.004375187726691365
Lao_Isan	100	20	50	50	tajima_d	-2.0568601381422256	-1.140299363732338	0.31437376048704785	-1.6834940314292908	-1.20469731092453	-0.5764151483774186
