"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"111-1852-6368"	"A5"	"1"	"0.8689"	"1-16569"
"111-1852-7068"	"F2g"	"1"	"0.8899"	"1-16569"
"111-1853-6312"	"D4b2b"	"1"	"0.9255"	"1-16569"
"111-1853-8170"	"B5a1c1a1"	"1"	"0.9605"	"1-16569"
"111-1853-8750"	"M74b2"	"1"	"0.9804"	"1-16569"
"111-1855-0752"	"B4a4"	"1"	"0.7723"	"1-16569"
"111-1855-6518"	"H27a"	"1"	"0.8833"	"1-16569"
"111-1855-8918"	"M9a1a1c1a"	"1"	"0.9608"	"1-16569"
"111-1856-1154"	"D4c1b"	"1"	"0.9226"	"1-16569"
"111-1856-2441"	"F2a"	"1"	"0.9617"	"1-16569"
"111-1856-4667"	"F1c1a1c"	"1"	"0.9507"	"1-16569"
"111-1856-5305"	"D5b4"	"1"	"0.9218"	"1-16569"
"111-1857-8671"	"B4a5"	"1"	"1.0000"	"1-16569"
"111-1858-0377"	"F4a2"	"1"	"0.9612"	"1-16569"
"111-1858-6744"	"A15a"	"1"	"0.9322"	"1-16569"
"111-1858-8854"	"G1a1"	"1"	"0.9168"	"1-16569"
"111-1859-1601"	"D5a2b"	"1"	"0.9701"	"1-16569"
"111-1859-9720"	"B4b1"	"1"	"0.8117"	"1-16569"
"111-1860-0921"	"D4b2"	"1"	"0.8876"	"1-16569"
"111-1860-1324"	"R11c"	"1"	"0.8410"	"1-16569"
"111-1860-2192"	"C7a"	"1"	"0.9732"	"1-16569"
"111-1861-0487"	"M7c1a"	"1"	"0.8750"	"1-16569"
"111-1861-2764"	"F2f"	"1"	"0.9058"	"1-16569"
"111-1861-3020"	"M7b1a1"	"1"	"0.9622"	"1-16569"
"111-1861-5260"	"B5a2a1a"	"1"	"0.9406"	"1-16569"
"111-1861-7134"	"D4i2"	"1"	"0.9687"	"1-16569"
"111-1861-8001"	"N9a1a"	"1"	"0.9446"	"1-16569"
"111-1861-8445"	"M8a2a1"	"1"	"0.9924"	"1-16569"
"111-1862-1582"	"M8a3a"	"1"	"0.9201"	"1-16569"
"111-1862-3296"	"A13"	"1"	"0.9412"	"1-16569"
"111-1862-4330"	"D4a7"	"1"	"0.9407"	"1-16569"
"111-1862-5382"	"F1b1c"	"1"	"0.9319"	"1-16569"
"111-1862-5542"	"M8a1"	"1"	"0.9488"	"1-16569"
"111-1862-5641"	"C7a1"	"1"	"0.9530"	"1-16569"
"111-1862-7713"	"D5a2b"	"1"	"0.9273"	"1-16569"
"111-1862-8321"	"R7"	"1"	"0.8118"	"1-16569"
"111-1862-8352"	"B4b1a2e"	"1"	"0.9678"	"1-16569"
"111-1862-8406"	"G2a1d1a"	"1"	"0.9642"	"1-16569"
"111-1862-9939"	"M7b1a2a2"	"1"	"0.9892"	"1-16569"
"111-1863-4674"	"G2a_T152C"	"1"	"0.9176"	"1-16569"
"111-1863-5510"	"F1a1c"	"1"	"0.8525"	"1-16569"
"111-1864-2419"	"C7a"	"1"	"0.9450"	"1-16569"
"111-1864-6547"	"D4j"	"1"	"0.9777"	"1-16569"
"111-1864-9081"	"M3a2"	"1"	"0.9220"	"1-16569"
"111-1864-9357"	"B4c1b2a"	"1"	"0.9369"	"1-16569"
"111-1864-9883"	"M8a3a"	"1"	"0.9845"	"1-16569"
"111-1865-1244"	"B4a2"	"1"	"0.8558"	"1-16569"
"111-1865-1947"	"A14"	"1"	"1.0000"	"1-16569"
"111-1865-4894"	"M7b1a1"	"1"	"0.9481"	"1-16569"
"111-1865-6249"	"M13"	"1"	"0.7837"	"1-16569"
"111-1865-8311"	"Z4a1a"	"1"	"0.9498"	"1-16569"
"111-1866-0369"	"C7a1"	"1"	"0.9530"	"1-16569"
"111-1866-2073"	"A17"	"1"	"0.9603"	"1-16569"
"111-1866-3407"	"D5a2a_T16092C"	"1"	"0.9442"	"1-16569"
"111-1866-4886"	"A15a"	"1"	"0.9442"	"1-16569"
"111-1866-6736"	"D4b2"	"1"	"0.9239"	"1-16569"
"111-1866-7320"	"D5b1b"	"1"	"0.9491"	"1-16569"
"111-1867-0337"	"B5b2a"	"1"	"0.9735"	"1-16569"
"111-1867-1822"	"D5b1b2"	"1"	"0.9336"	"1-16569"
"111-1867-2072"	"B5b2d"	"1"	"0.9445"	"1-16569"
"111-1867-2324"	"D4b2b2"	"1"	"0.9250"	"1-16569"
"111-1867-5677"	"F1a1a"	"1"	"0.9739"	"1-16569"
"111-1867-6094"	"C7a1"	"1"	"0.9643"	"1-16569"
"111-1867-9705"	"A17c"	"1"	"0.9730"	"1-16569"
"111-1868-1968"	"N9a1"	"1"	"0.9326"	"1-16569"
"111-1868-2446"	"F3a1"	"1"	"0.9348"	"1-16569"
"111-1868-3627"	"G1a"	"1"	"0.9419"	"1-16569"
"111-1868-3917"	"A14"	"1"	"1.0000"	"1-16569"
"111-1868-4372"	"F2f"	"1"	"0.8971"	"1-16569"
"111-1868-6086"	"A1b"	"1"	"0.9511"	"1-16569"
"111-1868-7571"	"D4q"	"1"	"0.9675"	"1-16569"
"111-1869-0793"	"B4c1c1"	"1"	"0.8831"	"1-16569"
"111-1869-1660"	"B4a"	"1"	"0.8454"	"1-16569"
"111-1869-6689"	"B4h1"	"1"	"0.7490"	"1-16569"
"111-1869-9499"	"A5b1b"	"1"	"0.8900"	"1-16569"
"111-1869-9673"	"M74a"	"1"	"0.9337"	"1-16569"
"111-1870-1765"	"D5a3"	"1"	"0.8626"	"1-16569"
"111-1870-5985"	"M7c1b"	"1"	"0.9374"	"1-16569"
