ID,Haplogroup,Population
Han_Anhui4899,O2a2b1a1a1b2,Han_noNWC
Han_Anhui4923,O2a2b1a1a1b2,Han_noNWC
Han_Anhui4999,O2a2b1a1a1b2,Han_noNWC
Han_Anhui4799,O2a2b1a1a1c1a1a,Han_noNWC
Han_Anhui4932,O2a2b1a1a1c1a1a,Han_noNWC
Han_Anhui4979,O2a2b1a1a1c1a1a1,Han_noNWC
Han_Anhui5018,O2a2b1a1a1c1a1a1,Han_noNWC
Han_Anhui4956,O2a2b1a1a1c1b,Han_noNWC
Han_Anhui4934,O2a2b1a1a1c1b1,Han_noNWC
Han_Anhui4967,O2a2b1a1b,Han_noNWC
Han_Anhui4803,O2a2b1a2a1a1a,Han_noNWC
Han_Anhui4829,O2a2b1a2a1a1a,Han_noNWC
Han_Anhui4855,O2a2b1a2a1a1a,Han_noNWC
Han_Anhui4898,O2a2b1a2a1a1a,Han_noNWC
Han_Anhui4907,O2a2b1a2a1a1a1,Han_noNWC
Han_Anhui4945,O2a2b1a2a1a1a1a1,Han_noNWC
Han_Anhui4917,O2a2b1a2a1a1a1a1a1a1a,Han_noNWC
Han_Anhui4815,O2a2b1a2a1a1a2a1,Han_noNWC
Han_Anhui4998,O2a2b1a2a1a1a2a1,Han_noNWC
Han_Anhui4944,O2a2b1a2a1a1a2a1a1,Han_noNWC
Han_Anhui4814,O2a2b1a2a1a1a2a1a1a,Han_noNWC
Han_Anhui4994,O2a2b1a2a1a1a2a1a1a,Han_noNWC
Han_Anhui4787,O2a2b1a2a1a1b1b2a1,Han_noNWC
Han_Anhui4844,O2a2b1a2a1a1b1b2b1,Han_noNWC
Han_Anhui4854,O2a2b1a2a1a1b1b2b1,Han_noNWC
Han_Anhui4872,O2a2b1a2a1a1b1b2b1,Han_noNWC
Han_Anhui4878,O2a2b1a2a1a1b1b2b1,Han_noNWC
Han_Anhui4984,O2a2b1a2a1a1b1b2b1,Han_noNWC
Han_Anhui4798,O2a2b1a2a1a1b1b2b2,Han_noNWC
Han_Anhui4839,O2a2b1a2a1a1b1b2b2,Han_noNWC
Han_Anhui4943,O2a2b1a2a1a3,Han_noNWC
Han_Anhui4788,O2a2b1a2a1a4a1,Han_noNWC
Han_Anhui4861,O2a2b1a2a2a,Han_noNWC
Han_Anhui4893,O2a2b1a2a2a1a,Han_noNWC
Han_Anhui5015,O2a2b1a2a2b,Han_noNWC
Han_Anhui5019,O2a2b1a2a2b,Han_noNWC
Han_Anhui5001,O2a2b1a2a2b1,Han_noNWC
Han_Anhui4853,O2a2b1a2a2b1a,Han_noNWC
Han_Anhui4975,O2a2b2,Han_noNWC
Han_Anhui4949,O2a2b2a1a,Han_noNWC
Han_Anhui4977,O2a2b2a1a,Han_noNWC
Han_Anhui4990,O2a2b2a1b1,Han_noNWC
Han_Anhui4879,O2a2b2a2a,Han_noNWC
Han_Anhui5003,O2a2b2a2a,Han_noNWC
Han_Anhui4841,O2a2b2a2a2,Han_noNWC
Han_Anhui4805,O2a2b2b1a,Han_noNWC
Han_Anhui4868,O2a2b2b1a,Han_noNWC
Han_Anhui4850,O2b,Han_noNWC
Han_Anhui4883,Q1a1a1,Han_noNWC
Han_Anhui4906,Q1a1a1,Han_noNWC
Han_Anhui5007,Q1a1a1,Han_noNWC
Han_Anhui5014,Q1a1a1,Han_noNWC
Han_Anhui4820,Q1a1a1a,Han_noNWC
Han_Anhui4885,Q1a1a1a1,Han_noNWC
Han_Anhui4992,R1a1a1b2a1a2c,Han_noNWC
Han_Anhui4827,R1a1a1b2a2,Han_noNWC
Han_Anhui4913,R1a1a1b2a2a1c,Han_noNWC
Han_Anhui4993,R1b1a1b1b3a,Han_noNWC
Han_Beijing4696,C2a1a1b1b,Han_noNWC
Han_Beijing4753,C2a1a1b1b,Han_noNWC
Han_Beijing4750,C2a1a2a1a,Han_noNWC
Han_Beijing4682,C2a1a2a2b,Han_noNWC
Han_Beijing4747,C2a1a3a,Han_noNWC
Han_Beijing4670,C2b1a,Han_noNWC
Han_Beijing4727,C2b1a1a1a1,Han_noNWC
Han_Beijing4755,C2b1a1a1a1,Han_noNWC
Han_Beijing4759,C2b1a1a1b,Han_noNWC
Han_Beijing4706,C2b1a2a1a,Han_noNWC
Han_Beijing4725,C2b1a2a1a,Han_noNWC
Han_Beijing4693,C2b1a2a1a1,Han_noNWC
Han_Beijing4749,C2b1a2a1a1,Han_noNWC
Han_Beijing4746,C2b1a2a2,Han_noNWC
Han_Beijing4756,C2b1a2a2,Han_noNWC
Han_Beijing4697,C2b1a2a2b1a,Han_noNWC
