sample_id,population
Han_Guangdong4148,Han_noNWC
Han_Guangdong4348,Han_noNWC
Han_Guangdong4072,Han_noNWC
Han_Guangdong4127,Han_noNWC
Han_Guangdong4170,Han_noNWC
Han_Guangdong4233,Han_noNWC
Han_Guangdong4409,Han_noNWC
Han_Guangdong4432,Han_noNWC
Han_Guangdong4181,Han_noNWC
Han_Guangdong4218,Han_noNWC
Han_Guangdong4424,Han_noNWC
Han_Guangdong4107,Han_noNWC
Han_Guangdong4264,Han_noNWC
Han_Guangdong4308,Han_noNWC
Han_Guangdong4377,Han_noNWC
Han_Guangdong4173,Han_noNWC
