"population","hap","count","freq","class"
"Han_NWCM","O1b1a1",477,0.0437494267632762,"Rare"
"Han_NWCM","O1b1a2",346,0.0317343850316427,"Rare"
"Han_NWCM","O1b2a1",83,0.00761258369256168,"Very rare"
"Han_NWCM","O2",31,0.00284325415023388,"Very rare"
"Han_NWCM","O2a1a",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","O2a1a1",188,0.0172429606530313,"Rare"
"Han_NWCM","O2a1b",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","O2a1b1",1600,0.146748601302394,"Common"
"Han_NWCM","O2a1b2",74,0.00678712281023571,"Very rare"
"Han_NWCM","O2a2a1",277,0.0254058516004769,"Rare"
"Han_NWCM","O2a2a2",50,0.00458589379069981,"Very rare"
"Han_NWCM","O2a2b1",3008,0.2758873704485,"Common"
"Han_NWCM","O2a2b2",374,0.0343024855544346,"Rare"
"Han_NWCM","O2b",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","O2b1",2,0.000183435751627992,"Doubleton"
"Han_NWCM","O2b1a",88,0.00807117307163166,"Very rare"
"Han_NWCM","O2b1a1",5,0.000458589379069981,"Very rare"
"Han_NWCM","O2b1b",10,0.000917178758139961,"Very rare"
"Han_NWCM","O2b2a",3,0.000275153627441988,"Very rare"
"Han_NWCM","Q1a1a",31,0.00284325415023388,"Very rare"
"Han_NWCM","Q1a1a1",393,0.0360451251949005,"Rare"
"Han_NWCM","Q1a2a",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","Q1a2a2",3,0.000275153627441988,"Very rare"
"Han_NWCM","Q1b",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","Q1b1a3",37,0.00339356140511786,"Very rare"
"Han_NWCM","Q1b1b",3,0.000275153627441988,"Very rare"
"Han_NWCM","Q1b2a1",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","Q1b2b",2,0.000183435751627992,"Doubleton"
"Han_NWCM","Q1b2b1",4,0.000366871503255985,"Very rare"
"Han_NWCM","Q2a1c1",4,0.000366871503255985,"Very rare"
"Han_NWCM","Q2b",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","Q2b1",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","R1a1a1",264,0.024213519214895,"Rare"
"Han_NWCM","R1b",4,0.000366871503255985,"Very rare"
"Han_NWCM","R1b1",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","R1b1a1",40,0.00366871503255985,"Very rare"
"Han_NWCM","R1b1a2",4,0.000366871503255985,"Very rare"
"Han_NWCM","R1b2",19,0.00174263964046593,"Very rare"
"Han_NWCM","R1b2b",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","R2",7,0.000642025130697973,"Very rare"
"Han_NWCM","R2a",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","R2a2",2,0.000183435751627992,"Doubleton"
"Han_NWCM","R2a2a1",8,0.000733743006511969,"Very rare"
"Han_NWCM","R2a2b",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","R2a2b1",12,0.00110061450976795,"Very rare"
"Han_NWCM","T1a1",2,0.000183435751627992,"Doubleton"
"Han_NWCM","T1a1a",2,0.000183435751627992,"Doubleton"
"Han_noNWC","C1a1",3,0.0006282722513089,"Very rare"
"Han_noNWC","C1b1a2",4,0.000837696335078534,"Very rare"
"Han_noNWC","C2",8,0.00167539267015707,"Very rare"
"Han_noNWC","C2a1a",13,0.00272251308900524,"Very rare"
"Han_noNWC","C2a1a1",25,0.00523560209424084,"Very rare"
"Han_noNWC","C2a1a2",4,0.000837696335078534,"Very rare"
"Han_noNWC","C2a1a3",5,0.00104712041884817,"Very rare"
"Han_noNWC","C2b1",1,0.000209424083769634,"Singleton"
"Han_noNWC","C2b1a",11,0.00230366492146597,"Very rare"
"Han_noNWC","C2b1a1",89,0.0186387434554974,"Rare"
"Han_noNWC","C2b1a2",195,0.0408376963350785,"Rare"
"Han_noNWC","C2b1b1",120,0.025130890052356,"Rare"
"Han_noNWC","C2b1b2",2,0.000418848167539267,"Doubleton"
"Han_noNWC","D1a1",2,0.000418848167539267,"Doubleton"
"Han_noNWC","D1a1a1",58,0.0121465968586387,"Rare"
"Han_noNWC","D1a1b1",3,0.0006282722513089,"Very rare"
"Han_noNWC","E1b1b",4,0.000837696335078534,"Very rare"
"Han_noNWC","F",4,0.000837696335078534,"Very rare"
"Han_noNWC","G1",2,0.000418848167539267,"Doubleton"
"Han_noNWC","G2a",2,0.000418848167539267,"Doubleton"
"Han_noNWC","G2a2",7,0.00146596858638743,"Very rare"
"Han_noNWC","H",1,0.000209424083769634,"Singleton"
