ID	Group_big	Group_small	Note
Mongolian_Yantai9243	All	Mongolian_Shandong	All Populations
Mongolian_Jinan9281	All	Mongolian_Shandong	All Populations
Mongolian_Jining9237	All	Mongolian_Shandong	All Populations
Mongolian_Jining9267	All	Mongolian_Shandong	All Populations
Mongolian_Weifang9242	All	Mongolian_Shandong	All Populations
Mongolian_Weifang9289	All	Mongolian_Shandong	All Populations
Mongolian_Yantai9247	All	Mongolian_Shandong	All Populations
Mongolian_Yantai9248	All	Mongolian_Shandong	All Populations
Mongolian_Yantai9270	All	Mongolian_Shandong	All Populations
Mongolian_Yantai9271	All	Mongolian_Shandong	All Populations
Mongolian_Zaozhuang9285	All	Mongolian_Shandong	All Populations
Mongolian_Zibo9284	All	Mongolian_Shandong	All Populations
Mongolian_Jinan9234	All	Mongolian_Shandong	All Populations
Mongolian_Jining9245	All	Mongolian_Shandong	All Populations
Mongolian_Heze9249	All	Mongolian_Shandong	All Populations
Mongolian_Heze9251	All	Mongolian_Shandong	All Populations
Mongolian_Heze9266	All	Mongolian_Shandong	All Populations
Mongolian_Jinan9277	All	Mongolian_Shandong	All Populations
Mongolian_Yantai9252	All	Mongolian_Shandong	All Populations
Mongolian_Zaozhuang9263	All	Mongolian_Shandong	All Populations
Mongolian_Dezhou9238	All	Mongolian_Shandong	All Populations
Mongolian_Jining9259	All	Mongolian_Shandong	All Populations
Mongolian_Yantai9236	All	Mongolian_Shandong	All Populations
Mongolian_Yantai9279	All	Mongolian_Shandong	All Populations
Mongolian_Jining9278	All	Mongolian_Shandong	All Populations
Mongolian_Qingdao9235	All	Mongolian_Shandong	All Populations
Mongolian_Weihai9280	All	Mongolian_Shandong	All Populations
Mongolian_Zibo9288	All	Mongolian_Shandong	All Populations
Mongolian_Weifang9287	All	Mongolian_Shandong	All Populations
Mongolian_Jinan9253	All	Mongolian_Shandong	All Populations
Mongolian_Yantai9260	All	Mongolian_Shandong	All Populations
Mongolian_Jinan9246	All	Mongolian_Shandong	All Populations
Mongolian_Dezhou9257	All	Mongolian_Shandong	All Populations
Mongolian_Linyi9244	All	Mongolian_Shandong	All Populations
Mongolian_Weifang9290	All	Mongolian_Shandong	All Populations
Mongolian_Zibo9282	All	Mongolian_Shandong	All Populations
Mongolian_Linyi9258	All	Mongolian_Shandong	All Populations
Mongolian_Zibo9262	All	Mongolian_Shandong	All Populations
Mongolian_Binzhou9256	All	Mongolian_Shandong	All Populations
Mongolian_XiAn9229	All	Mongolian_Shaanxi	All Populations
Mongolian_XiAn9233	All	Mongolian_Shaanxi	All Populations
Mongolian_Yulin9230	All	Mongolian_Shaanxi	All Populations
Mongolian_Tongchuan9224	All	Mongolian_Shaanxi	All Populations
Mongolian_XiAn9222	All	Mongolian_Shaanxi	All Populations
Mongolian_Yulin9232	All	Mongolian_Shaanxi	All Populations
Mongolian_XiAn9227	All	Mongolian_Shaanxi	All Populations
Mongolian_YanAn9226	All	Mongolian_Shaanxi	All Populations
Mongolian_Shangluo9228	All	Mongolian_Shaanxi	All Populations
Mongolian_Hanzhong9225	All	Mongolian_Shaanxi	All Populations
Mongolian_XiAn9223	All	Mongolian_Shaanxi	All Populations
Mongolian_Yulin9231	All	Mongolian_Shaanxi	All Populations
Mongolian_Xining9174	All	Mongolian_Qinghai	All Populations
Mongolian_Xining9211	All	Mongolian_Qinghai	All Populations
Mongolian_Haidong9216	All	Mongolian_Qinghai	All Populations
Mongolian_Hainan9177	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9172	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9196	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9212	All	Mongolian_Qinghai	All Populations
Mongolian_Xining9169	All	Mongolian_Qinghai	All Populations
Mongolian_Haibei9215	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9194	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9200	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9176	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9204	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9213	All	Mongolian_Qinghai	All Populations
Mongolian_Xining9197	All	Mongolian_Qinghai	All Populations
Mongolian_Haidong9195	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9178	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9183	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9199	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9185	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9205	All	Mongolian_Qinghai	All Populations
Mongolian_Xining9203	All	Mongolian_Qinghai	All Populations
Mongolian_Xining9206	All	Mongolian_Qinghai	All Populations
Mongolian_Haibei9187	All	Mongolian_Qinghai	All Populations
Mongolian_Haidong9191	All	Mongolian_Qinghai	All Populations
Mongolian_Haidong9214	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9219	All	Mongolian_Qinghai	All Populations
Mongolian_Xining9198	All	Mongolian_Qinghai	All Populations
Mongolian_Yushu9188	All	Mongolian_Qinghai	All Populations
Mongolian_Haidong9217	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9202	All	Mongolian_Qinghai	All Populations
Mongolian_Haibei9171	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9170	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9173	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9201	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9181	All	Mongolian_Qinghai	All Populations
Mongolian_Haibei9209	All	Mongolian_Qinghai	All Populations
Mongolian_Haibei9190	All	Mongolian_Qinghai	All Populations
Mongolian_Haibei9192	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9180	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9182	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9193	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9208	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9210	All	Mongolian_Qinghai	All Populations
Mongolian_Xining9184	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9189	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9179	All	Mongolian_Qinghai	All Populations
Mongolian_Xining9175	All	Mongolian_Qinghai	All Populations
Mongolian_Xining9218	All	Mongolian_Qinghai	All Populations
Mongolian_Haidong9207	All	Mongolian_Qinghai	All Populations
Mongolian_Haixi9186	All	Mongolian_Qinghai	All Populations
Mongolian_Yinchuan9168	All	Mongolian_Ningxia	All Populations
Mongolian_Yinchuan9167	All	Mongolian_Ningxia	All Populations
Mongolian_Mongoliania9165	All	Mongolian_Mongoliania	All Populations
Mongolian_Mongoliania9162	All	Mongolian_Mongoliania	All Populations
Mongolian_Mongoliania9163	All	Mongolian_Mongoliania	All Populations
Mongolian_Mongoliania9166	All	Mongolian_Mongoliania	All Populations
Mongolian_Mongoliania9161	All	Mongolian_Mongoliania	All Populations
Mongolian_Mongoliania9164	All	Mongolian_Mongoliania	All Populations
Mongolian_Fushun8859	All	Mongolian_Liaoning	All Populations
Mongolian_Fuxin8930	All	Mongolian_Liaoning	All Populations
Mongolian_Huludao8950	All	Mongolian_Liaoning	All Populations
Mongolian_Anshan9021	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang8876	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang8889	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang8904	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang8921	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang8939	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang8989	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang8999	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang9040	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang9041	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang9095	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang9112	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang9121	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang9146	All	Mongolian_Liaoning	All Populations
Mongolian_Chaoyang9150	All	Mongolian_Liaoning	All Populations
Mongolian_Dalian8860	All	Mongolian_Liaoning	All Populations
Mongolian_Dandong8902	All	Mongolian_Liaoning	All Populations
Mongolian_Dandong8945	All	Mongolian_Liaoning	All Populations
Mongolian_Fuxin8914	All	Mongolian_Liaoning	All Populations
Mongolian_Fuxin8967	All	Mongolian_Liaoning	All Populations
Mongolian_Fuxin8985	All	Mongolian_Liaoning	All Populations
Mongolian_Fuxin9027	All	Mongolian_Liaoning	All Populations
Mongolian_Fuxin9106	All	Mongolian_Liaoning	All Populations
Mongolian_Fuxin9139	All	Mongolian_Liaoning	All Populations
Mongolian_Fuxin9158	All	Mongolian_Liaoning	All Populations
Mongolian_Huludao9029	All	Mongolian_Liaoning	All Populations
Mongolian_Huludao9107	All	Mongolian_Liaoning	All Populations
Mongolian_Jinzhou9061	All	Mongolian_Liaoning	All Populations
Mongolian_Liaoyang9153	All	Mongolian_Liaoning	All Populations
Mongolian_Panjin9013	All	Mongolian_Liaoning	All Populations
Mongolian_Shenyang8960	All	Mongolian_Liaoning	All Populations
