group	n_samples	n_sites_used	n_variant_sites	n_segregating_sites	missing_rate_mean	heterozygous_calls_masked_global	pi	theta_w	tajima_d	haplotype_diversity
Greek	23	16569	17473	228	5.722788142382969e-05	0	0.0020621581457035787	0.0037281233015768037	-1.8099881053511826	1.0
Hakka	45	16569	17474	372	0.0	0	0.002127673841614699	0.005134145558804632	-2.1567325255562464	0.993939393939394
Han	7581	16569	17474	4454	5.455558620894568e-05	0	0.0017855270597206393	0.028263247806665844	-2.565608238330467	0.9998156410328697
Hani	33	16569	17473	247	5.722788142382969e-05	0	0.002506812238254604	0.003672902574823778	-1.2142980898442877	0.990530303030303
Hre	30	16569	17473	214	5.722788142382969e-05	0	0.002528596896482356	0.0032599785638309357	-0.8689644472686525	0.9747126436781609
Huli	37	16569	17473	158	5.722788142382969e-05	0	0.0016653346164510919	0.002284146497425141	-1.0130326142813353	0.9939939939939939
Hungarian	48	16569	17474	359	5.603563389416657e-05	0	0.002004979947525435	0.004881892148175077	-2.152686157400081	0.9982269503546101
Indian	75	16569	17473	657	5.722788142382969e-05	0	0.00241850299303528	0.00811165895203417	-2.4515263076305516	0.9996396396396395
Indigenous_Papuans	453	16569	17474	847	4.712141229820855e-05	0	0.002343783830763939	0.007638441096677982	-2.1165459773400976	0.9987497313876028
Indonesian	23	16569	17473	242	5.722788142382969e-05	0	0.0025480593767964873	0.00395704315342801	-1.443080964853849	1.0
Iranian	355	16569	17473	1350	0.00010768514025667107	0	0.0022741021890509026	0.012635467851283989	-2.546022807697126	0.9993634121110846
Italian	2186	16569	17474	1502	5.5316794807205914e-05	0	0.0016980806232640487	0.010965013596679075	-2.4043473830468467	0.9953450394752543
IuMien	60	16569	17474	379	4.292091106787227e-05	0	0.0023439337990855433	0.0049049243140088334	-1.8597260676086695	0.9971751412429378
Jalayir	51	16569	17473	443	5.722788142382969e-05	0	0.002124084395375531	0.0059421745301934895	-2.3341812843329452	1.0
Japanese	247	16569	17474	839	2.687625200471354e-05	0	0.0022858202140400895	0.0083216407864663	-2.2999745151275035	0.9998683387643593
Jarai	30	16569	17473	201	5.722788142382969e-05	0	0.0021165518628736327	0.0030619424828505514	-1.1949396832222199	0.9264367816091954
Jenu	79	16569	17474	107	0.0	0	0.0014796432747129062	0.001307091818919783	0.44612698256327205	0.9659201557935734
Kalash	21	16569	17474	133	0.0	0	0.00203983101991551	0.002230999121167497	-0.35051419858196653	0.9523809523809523
Kalueng	25	16569	17473	131	5.722788142382969e-05	0	0.00184027358680346	0.0020937345120783453	-0.4795140207767962	0.9433333333333334
Kamar	53	16569	17474	135	0.0	0	0.0015006924049180458	0.0017953228664466534	-0.5838435170385832	0.9564586357039188
Karen	125	16569	17474	372	5.677005837243905e-05	0	0.0022183269414215354	0.004156273477396216	-1.5468359271341883	0.9815483870967742
Kathodi	34	16569	17474	165	0.0	0	0.001525425005136745	0.0024353745108261996	-1.415137730398099	0.9803921568627451
Kazak	47	16569	17474	382	5.601026692545034e-05	0	0.0020344268729026132	0.005219683949278281	-2.236037021419076	1.0
Ket	30	16569	17474	189	3.815192094921979e-05	0	0.002113638413141046	0.0028791399465609665	-1.028156492333207	0.967816091954023
Khamu	25	16569	17473	143	5.722788142382969e-05	0	0.002015288674311004	0.0022855269864672013	-0.4690647868045838	0.9266666666666666
Khmer	245	16569	17473	911	5.722788142382969e-05	0	0.0025495919154784603	0.009047888706382068	-2.279724286473509	0.9965540314486451
Khon_Mueang	246	16569	17473	864	5.722788142382969e-05	0	0.002559646347020784	0.008575332947878312	-2.2254649001619953	0.9961838393894142
Kinh	191	16569	17474	845	2.0673946692378265e-05	0	0.0024818380334238393	0.00875183146064522	-2.3134099538878385	0.9990079911821439
Koryak	78	16569	17474	182	1.5407506537184918e-05	0	0.0017141779966161378	0.0022290622611872177	-0.7922760800090749	0.9637029637029637
Kyrgyz	125	16569	17474	660	0.0	0	0.0023228843420873323	0.00737403358892877	-2.2833790407274366	0.9947096774193548
Lachi	36	16569	17473	153	5.722788142382969e-05	0	0.002159381555881254	0.0022266798472745262	-0.1133866073037347	0.9460317460317459
Lachungpa	25	16569	17474	152	0.0	0	0.0019374371353852347	0.0024293713422588433	-0.8041059920323705	0.9933333333333333
Lahu	90	16569	17474	312	5.341268932890771e-05	0	0.0022219811234749564	0.0037127792197259786	-1.3692750826476845	0.9550561797752809
Lao	85	16569	17473	516	5.722788142382969e-05	0	0.002468789567728117	0.006210766463143873	-2.075672917190899	0.9949579831932773
Lao_Isan	100	16569	17473	563	5.722788142382969e-05	0	0.0025870899703126617	0.006562601794590347	-2.0568601381422256	0.9957575757575757
Lawa	70	16569	17473	301	5.722788142382969e-05	0	0.0024949177277901265	0.003769879974134621	-1.1820788873869814	0.9734989648033125
Lepcha	20	16569	17474	96	0.0	0	0.0016882126862116061	0.001633040599564719	0.13867731567816505	0.8578947368421052
Lhoba	92	16569	17473	353	0.0012646117710287583	0	0.002203576731665735	0.004182450440730203	-1.6123592420844008	0.9866220735785953
Li	152	16569	17474	492	3.7649921989361636e-07	0	0.0025054255076796413	0.005304262098558693	-1.7273248035210917	0.9998257232485186
Libyan	60	16569	17474	466	0.0	0	0.001928950625492262	0.006030856808253604	-2.4266101005216516	1.0
Lisu	29	16569	17473	198	5.722788142382969e-05	0	0.0021149266732268836	0.003042726139526137	-1.1861169836029732	0.977832512315271
Lolo	36	16569	17473	145	5.722788142382969e-05	0	0.0020085064804437162	0.0021102521428418715	-0.18070269364225094	0.8888888888888888
Lue	190	16569	17473	698	5.722788142382969e-05	0	0.0023359243007942303	0.007235859340116219	-2.1850583610372927	0.9983848510164298
Ma	26	16569	17473	245	5.722788142382969e-05	0	0.0026281045448215035	0.003874716834968883	-1.2768271393485249	0.9969230769230769
Madia	20	16569	17474	103	0.0	0	0.0012981609122383509	0.0017521164766163128	-1.065081096730121	0.9684210526315788
Makatao	50	16569	17474	379	0.0	0	0.0023355215351077065	0.005106410559168819	-1.973440078847142	0.9910204081632652
Makrani	23	16569	17474	320	0.0	0	0.002856488582394489	0.005232453756599023	-1.8446205976174843	1.0
Malagasy	2851	16569	17474	1994	0.0010691637587368868	0	0.0030651047906562054	0.014103539246866725	-2.2073040076146926	0.993317457094156
Malaysian	37	16569	17474	299	5.5681181925888346e-05	0	0.002285961278115774	0.004322530397026058	-1.7766575478402424	1.0
Mamanwas	39	16569	17473	212	0.00017902055214633902	0	0.002260877615831083	0.003026135978759598	-0.9430924895180843	0.979757085020243
Man	23	16569	17473	227	5.722788142382969e-05	0	0.0017146087624427212	0.0037117718835874315	-2.1792793188069735	1.0
Mang	37	16569	17473	135	5.722788142382969e-05	0	0.0018826309713455157	0.0019516441591923674	-0.1318302519364288	0.8903903903903905
Manobos	43	16569	17473	245	5.722788142382969e-05	0	0.002209492799098559	0.0034172951926237354	-1.3037145775334094	0.9856035437430786
Miao	220	16569	17474	448	4.78633190090212e-05	0	0.002069888291067018	0.004529865466162952	-1.7275064627208019	0.9955168119551682
Mishar	71	16569	17473	513	5.722788142382969e-05	0	0.002268141134070567	0.006406085500581536	-2.265330275794438	0.9991951710261571
Mnong	53	16569	17473	335	5.722788142382969e-05	0	0.002577095192756595	0.004455060446367621	-1.5209086908316953	0.9941944847605224
Moken	37	16569	17473	104	5.722788142382969e-05	0	0.0015841429842636844	0.001503488833748194	0.19877508772890073	0.7402402402402403
Moklen	27	16569	17474	108	2.755416512999207e-05	0	0.0019119439759150078	0.0016909946863031219	0.5088206345367062	0.9002849002849003
Mon	160	16569	17473	794	5.722788142382969e-05	0	0.002562186151376095	0.0084821575868043	-2.2831775839553465	0.9949685534591194
Mongol	306	16569	17474	1307	3.1232209796665224e-05	0	0.002384628660438192	0.012521894297865504	-2.5365438727811074	0.9998071359691417
Monpa	49	16569	17474	252	1.9854571106226628e-05	0	0.0018874779845553188	0.003410831891873419	-1.6214148158581023	0.9770408163265306
Moroccan	60	16569	17474	452	0.0	0	0.002351775893402071	0.005849672268949848	-2.132904512963453	0.9983050847457627
Mosuo	35	16569	17474	293	0.0	0	0.0026524598976585207	0.004293748711771457	-1.4522907887490166	1.0
Mozabite	28	16569	17474	206	0.0	0	0.002172920398629511	0.0031947178150351077	-1.2516947728193208	0.9788359788359787
Munda	30	16569	17474	231	0.0	0	0.001987943867535152	0.0035189488235745146	-1.6866498977944	0.9977011494252873
Native_American	215	16569	17473	689	5.722788142382969e-05	0	0.002322307461957904	0.006993690487688367	-2.135930416234639	1.0
Nepali	21	16569	17473	216	5.722788142382969e-05	0	0.0017426789665775783	0.003623276768211875	-2.13670909525863	1.0
Ni-Vanuatu	320	16569	17474	557	4.095370264392812e-05	0	0.0021961025988349986	0.005298724469569399	-1.8200959552019005	0.9962774294670846
Nihal	30	16569	17474	185	0.0	0	0.0017393294903544005	0.0028182057677977714	-1.479947012857918	0.9540229885057472
Nivkh	46	16569	17474	82	4.976337515115625e-05	0	0.0007150458164601062	0.0011259979285854322	-1.302886561524588	0.9439613526570049
Nung	37	16569	17473	249	5.722788142382969e-05	0	0.0023214826171977653	0.003599699226954811	-1.3364518527100406	0.9909909909909911
Nyahkur	23	16569	17473	122	5.722788142382969e-05	0	0.0024431028025790696	0.0019948729947033774	0.9021634242995487	0.8656126482213439
Nyaw	25	16569	17473	188	5.722788142382969e-05	0	0.0024007242003621	0.003004748765425411	-0.8006704121790131	0.96
PaThen	36	16569	17473	152	5.722788142382969e-05	0	0.002169727275339828	0.002212126384220445	-0.07189698603116416	0.9142857142857143
Paiwan	62	16569	17474	240	1.1076364146547682e-05	0	0.002070985805455885	0.0030841553386763863	-1.1599011511097121	0.9756742464304601
Pakistani	120	16569	17473	458	5.722788142382969e-05	0	0.0022390790957300243	0.005156260346633579	-1.8872917512535425	0.9959383753501401
Palestinian	51	16569	17474	410	8.97692257628701e-06	0	0.002369744518205592	0.005499529474896909	-2.066190601086853	0.9976470588235294
Paluang	25	16569	17473	227	5.722788142382969e-05	0	0.0024711325688996175	0.003628074307189193	-1.2729045250250783	0.9833333333333333
Papuan	494	16569	17474	838	5.5837730458068646e-05	0	0.0022959075209818213	0.007460580435856459	-2.1033187377763887	0.9958939320527875
Pathan	22	16569	17474	232	0.0	0	0.002357570009953836	0.0038408310771476783	-1.5771504489442678	1.0
Peruvian	124	16569	17473	519	5.722788142382969e-05	0	0.0024596396313409275	0.005807342273423367	-1.919651376066675	0.995017046944663
PhuLa	35	16569	17473	232	5.722788142382969e-05	0	0.0024141026356227467	0.0033998283315050445	-1.0988099450902484	0.9798319327731093
Phuan	125	16569	17473	508	5.722788142382969e-05	0	0.002420908365292892	0.005675771307842145	-1.9080599817587527	0.9892903225806451
Phutai	55	16569	17473	300	5.722788142382969e-05	0	0.0023934781327660023	0.003957006771922156	-1.417951465920499	0.9791245791245792
Polish	228	16569	17473	928	5.722788142382969e-05	0	0.0020404947349857553	0.009327349697774453	-2.492282885782034	0.9997294999613571
Portuguese	42	16569	17473	352	5.722788142382969e-05	0	0.0020197984547308183	0.004936913780729206	-2.194256702840338	1.0
Puyuma	39	16569	17474	164	0.0	0	0.0021654340111920394	0.0023409731156442174	-0.27854457644653025	0.9352226720647774
Raglay	37	16569	17473	211	5.722788142382969e-05	0	0.002273728163891109	0.003050347537700663	-0.9562825709127943	0.9624624624624624
Rukai	50	16569	17474	151	0.0	0	0.0017941448154397547	0.0020344801963970757	-0.42429163759618554	0.9151020408163266
Russ	761	16569	17474	1248	5.542305993345924e-05	0	0.002224515092996187	0.010444436819772796	-2.3424409550626577	0.9983574244415243
Saek	26	16569	17473	160	5.722788142382969e-05	0	0.0016491342091824893	0.0025304273207960052	-1.3748936998294141	0.8276923076923076
Saisiat	24	16569	17474	149	0.0	0	0.0023215082259715044	0.0024079947881359004	-0.1435998299911015	0.9565217391304348
Sardinian	24	16569	17474	177	0.0	0	0.002031784349225508	0.0028605038758392916	-1.161197703727166	0.9927536231884058
