hGrp	HG00096
G2b2	1	32-16
G2b2a	2	32-18
G2b2b	2	32-18
G2b2c	2	32-18
G2b	1	32-15
G2c	7	33-20
G3	1	32-13
G3a1	5	33-19
G3a1'2	1	32-15
G3a1a	1	33-20
G3a2	1	32-16
G3a2_T152C	1	33-16
G3a2a	5	34-20
G3a3	2	32-16
G3a	1	32-14
G3b1	2	32-18
G3b2	1	32-17
G3b	3	32-16
G4	12	33-23
G	4	32-12
H1	1	44-4
H1_C16239T	1	44-5
H1_C16278T	1	44-5
H1_C16355T	1	44-5
H1_T152C	1	45-4
H1_T16189C	1	44-5
H1_T16311C	1	44-5
H1a1	2	44-8
H1a1a1	1	44-10
H1a1a	1	44-9
H1a1b	1	44-9
H1a1c	1	44-9
H1a2	1	44-7
H1a3	1	44-7
H1a3a1	1	44-9
H1a3a2	1	44-8
H1a3a3	2	44-10
H1a3a4	1	44-9
H1a3a	1	44-8
H1a3b1	1	44-9
H1a3b	1	44-8
H1a3c1	1	44-9
H1a3c	1	44-8
H1a3d	1	44-8
H1a4	1	44-7
H1a5	2	44-8
H1a6	3	44-9
H1a7	1	44-7
H1a8	1	44-7
H1a8a	1	44-8
H1a9	2	44-8
H1a	2	44-6
H1aa1	1	44-7
H1aa	1	44-6
H1ab1	1	44-7
H1ab	1	44-6
H1ac	1	44-6
H1ad	1	44-6
H1ae1	1	44-6
H1ae2	1	44-6
H1ae2a	1	44-7
H1ae3	2	44-7
H1ae3a	1	44-8
H1ae	1	44-5
H1af1	1	44-6
H1af1a	1	44-7
H1af1b	1	44-7
H1af2	1	44-6
H1af	1	44-5
H1ag1	1	44-6
H1ag1a	2	44-8
H1ag1b	1	44-7
H1ag	1	44-5
H1ah1	4	44-10
H1ah2	2	44-8
H1ah	2	44-6
H1ai1	1	44-6
H1ai	1	44-5
H1aj1	2	44-7
H1aj1a	4	44-11
H1aj	1	44-5
H1ak1	1	44-6
H1ak2	1	44-6
H1ak	1	44-5
H1am1	1	44-6
H1am	1	44-5
H1an1	1	45-6
H1an1a	1	45-7
H1an2	2	45-7
H1an	1	45-5
H1ao1	1	44-9
H1ao	3	44-8
H1ap1	3	45-7
H1ap	1	44-5
H1aq1	2	44-7
H1aq	1	44-5
H1ar1	2	44-8
H1ar	2	44-6
H1as1	2	44-7
H1as1a	1	44-8
H1as2	1	44-6
H1as	1	44-5
H1at1	1	44-6
H1at1a	1	44-7
H1at	1	44-5
H1au1	1	44-6
H1au1a	1	44-7
H1au1b	1	44-7
H1au	1	44-5
H1av1	1	44-6
H1av1a	1	44-7
H1av	1	44-5
H1aw1	1	44-8
H1aw	3	44-7
H1ax1	1	44-8
H1ax	3	44-7
H1ay	1	44-5
H1az	1	44-5
H1b1	1	44-7
H1b1_T16362C	1	44-8
H1b1a	2	45-9
H1b1b	2	44-10
H1b1c	1	44-9
H1b1d	1	44-9
H1b1e1	1	44-9
H1b1e	1	44-8
H1b1f	2	44-9
H1b1g	3	44-10
H1b1h	1	44-9
H1b1i	1	44-8
H1b2	2	44-8
H1b2a1	1	45-11
H1b2a	3	45-10
H1b3	1	44-7
H1b4	1	44-7
H1b5	1	44-7
H1b	1	44-6
H1ba1	1	44-6
H1ba	1	44-5
H1bb	1	45-5
H1bc	2	45-5
H1bd	1	44-5
H1be	2	44-6
H1bf1	1	44-7
H1bf	1	44-6
H1bg	2	44-7
H1bh	1	44-6
H1bi	1	44-5
H1bj	1	44-5
H1bk	1	44-5
H1bm	1	44-5
H1bn	1	44-5
H1bo	5	44-9
H1bp	1	44-5
H1bq	1	44-5
H1br	1	44-5
H1bs	1	44-5
H1bt1	2	44-7
H1bt	1	44-5
H1bu	2	44-6
H1bv1	2	44-7
H1bv	1	44-5
H1bw	1	44-5
H1bx	2	44-6
H1bz	3	44-7
H1c1	2	44-7
H1c1_T16093C	1	44-8
H1c1a1	1	44-9
H1c1a	1	44-8
H1c1b	1	44-8
H1c1c	2	44-9
H1c1d	1	44-9
H1c2	1	44-6
H1c2a	1	44-7
H1c3	2	44-7
H1c3a	3	44-10
H1c3b	2	44-9
H1c4	1	44-6
H1c4a1	1	44-8
H1c4a	1	44-7
H1c4b1	1	44-8
H1c4b	1	44-7
H1c5	1	44-6
H1c5a	2	45-7
H1c6	1	44-6
H1c7	1	44-6
H1c8	2	44-7
H1c9	1	45-6
H1c9a	1	45-7
H1c10	2	44-7
H1c11	1	44-6
H1c12	1	44-6
H1c13	1	44-6
H1c14	3	44-8
H1c15	1	45-5
H1c16	1	44-6
H1c17	1	44-6
H1c18	2	44-7
H1c19	1	44-6
H1c20	1	44-6
H1c21	1	44-6
H1c22	1	44-6
H1c	1	44-5
H1c_T152C	1	45-5
H1ca	2	44-6
H1cc	3	44-8
H1cd	4	44-9
H1cf	1	44-5
H1cg	1	44-6
H1ch	1	44-6
H1ci	3	44-7
H1cj	5	44-9
H1ck	1	44-6
H1e1	1	44-6
H1e1a1	4	44-11
H1e1a2	1	44-8
H1e1a3	1	44-8
H1e1a4	5	44-12
H1e1a5	7	44-14
H1e1a6	1	44-8
H1e1a7	1	44-8
H1e1a8	2	44-10
H1e1a	1	44-7
H1e1a_C16278T	1	44-8
H1e1b1	1	44-8
H1e1b1a	1	44-9
H1e1b1b	2	44-10
H1e1b	1	44-7
H1e1c	1	44-7
H1e2	1	44-6
H1e2a	1	44-7
H1e2b	1	44-7
H1e2c	1	44-7
H1e2d	1	44-7
H1e3	4	45-9
H1e4	1	44-6
H1e4a	1	44-7
H1e5	1	44-6
H1e5a	1	44-7
H1e5b	1	44-7
H1e6	1	44-6
H1e7	1	44-6
H1e8	1	44-6
H1e8a	1	44-7
H1e	1	44-5
H1e_G16129A	1	44-6
H1f1	1	44-9
H1f1a	1	44-9
H1f	2	44-7
H1f_T16093C	1	44-8
H1g1	1	44-7
H1g2	1	44-7
H1g	1	44-6
H1h1	1	44-6
H1h2	3	44-8
H1h	1	44-5
H1i1	1	45-6
H1i2	1	45-6
H1i2a	1	45-7
H1i	1	45-5
H1j1	1	44-6
H1j1a1	1	44-8
H1j1a2	1	44-8
H1j1a	1	44-7
H1j1b	1	44-7
H1j1c	2	44-8
H1j2	3	44-8
H1j2a	1	44-9
H1j3	1	44-6
H1j4	1	44-6
H1j5	2	44-7
H1j6	3	44-8
H1j7	3	44-8
H1j8	2	44-7
H1j9	2	44-7
H1j	1	44-5
H1k1	2	44-8
H1k1a	1	44-9
H1k	1	44-6
H1m1	3	44-8
H1m	1	44-5
H1n1	1	44-7
H1n1a	1	44-8
H1n1b	2	44-9
H1n2	2	44-8
H1n3	1	44-7
H1n4	1	44-7
H1n5	1	44-8
H1n6	3	44-8
H1n	1	44-5
H1n_T146C	1	44-6
H1n_T146C_T195C	1	44-7
H1o	2	44-7
H1p	1	44-5
H1q1	1	44-6
H1q1a	1	44-7
H1q2	1	44-6
H1q3	3	44-8
H1q	1	44-5
H1r1	2	44-7
H1r	1	44-5
H1s1	1	44-6
H1s	1	44-5
H1t1	1	44-6
H1t1a1	1	44-8
H1t1a	1	44-7
H1t2	1	44-6
H1t	1	44-5
H1u1	1	44-6
H1u2	2	44-7
H1u	1	44-5
H1v1	1	44-6
H1v1a	1	44-7
H1v1b	1	44-7
H1v	1	44-5
H1w	1	44-5
H1x	4	44-8
H1y	1	44-6
H1z1	2	44-9
H1z	2	44-7
H2	1	44-4
H2_T152C__T16311C	2	45-5
H2a1	2	44-7
H2a1_T146C	1	44-8
H2a1a1	4	44-13
H2a1a2	4	44-13
H2a1a	2	44-9
H2a1b1	1	44-10
H2a1b2	3	44-12
H2a1b	2	44-9
H2a1c	1	44-8
H2a1d	3	45-9
H2a1e1	1	44-9
H2a1e1a1	2	44-12
H2a1e1a	1	44-10
H2a1e1b	2	45-10
H2a1e	1	44-8
H2a1f1	1	44-9
H2a1f2	1	44-9
H2a1f	1	44-8
H2a1g	1	44-8
H2a1i	2	44-9
H2a1j	2	44-9
H2a1k	1	44-8
H2a1m	2	44-9
H2a1n	1	44-9
H2a2	1	44-6
H2a2_A16235G	1	44-7
H2a2a1	1	44-9
H2a2a1a	1	44-10
H2a2a1b	1	44-10
H2a2a1c	2	44-11
H2a2a1d	1	44-10
H2a2a1e	1	44-10
H2a2a1f	1	44-10
H2a2a1g	1	44-10
H2a2a1h	1	44-10
H2a2a2	2	45-9
H2a2a	2	44-8
H2a2b1	1	44-9
H2a2b1a1	1	44-11
H2a2b1a	1	44-10
H2a2b2	1	44-9
H2a2b3	1	44-9
H2a2b4	1	44-9
H2a2b5	1	44-9
H2a2b5a	2	44-11
H2a2b	1	44-8
H2a3	2	44-7
H2a3a1	1	44-9
H2a3a	1	44-8
H2a3b	1	44-8
H2a4	1	44-6
H2a5	1	44-6
H2a5a1	1	44-8
H2a5a1a	1	44-9
H2a5a1b	1	44-9
H2a5a	1	44-7
H2a5b1	1	44-8
H2a5b2	2	44-9
H2a5b	1	44-7
H2a	1	44-5
H2b	1	45-6
H2c1	4	45-11
H2c	2	45-7
H3	1	44-4
H3_A73G	1	44-5
H3_T152C	1	45-4
H3_T16189C	1	44-5
H3_T16311C	1	44-5
H3a1	1	45-6
H3a1a	1	45-7
H3a	1	45-5
H3aa	1	44-5
H3ab	2	44-6
H3ac	1	44-5
H3ad	1	44-5
H3ae	1	44-5
H3af	2	44-6
H3ag1	2	44-7
H3ag	1	44-5
H3ah	1	44-5
H3ai	1	44-5
H3aj	1	44-5
H3ak	3	44-7
H3am	1	44-5
H3an	1	44-5
H3ao1	1	44-6
H3ao	1	44-5
H3ap	1	44-5
H3aq	1	44-5
H3ar	1	44-5
H3as	1	44-5
H3at1	2	45-6
H3at	1	44-5
H3au	1	44-5
H3av	3	45-7
H3b1	2	44-8
H3b1a	1	44-9
H3b1b1	2	44-11
H3b1b1a	1	44-12
H3b1b	1	44-9
H3b2	1	44-7
H3b3	1	44-7
H3b4	1	44-7
H3b4a	1	44-8
H3b5	1	44-7
H3b6	1	44-7
H3b6a	1	44-8
H3b7	1	44-7
H3b	1	44-5
H3b_G16129A	1	44-6
H3c1	1	44-6
H3c2	2	44-7
H3c2a1	1	44-9
H3c2a	1	44-8
H3c2b1	1	44-9
H3c2b	1	44-8
H3c2c	1	44-8
H3c3	3	44-8
H3c	1	44-5
H3d	1	44-6
H3e	2	44-6
H3g1	2	45-7
H3g1a	1	45-8
H3g1b	1	45-8
H3g2	1	45-6
H3g3	1	45-6
H3g4	1	45-6
H3g	1	45-5
H3h1	1	44-7
H3h2	2	44-8
H3h2a	1	44-9
H3h3	1	44-7
H3h3a	1	44-8
H3h3b	1	44-8
H3h4	4	44-10
H3h5	1	44-7
H3h6	1	44-7
H3h7	1	44-7
H3h	1	44-6
H3i1	1	45-6
H3i	1	45-5
H3j	1	45-5
H3k1	1	45-6
H3k1a	1	45-7
H3k	1	45-5
H3m	1	44-6
H3n	3	44-8
H3p	1	44-5
H3q1	1	44-6
H3q	1	44-5
H3r1	1	44-6
H3r	1	44-5
H3s	3	44-7
H3t	1	44-5
H3u1	4	45-8
H3u	1	44-5
H3v1	4	44-9
H3v2	4	44-10
H3v	1	44-5
H3v_T16093C	1	44-6
H3w	3	44-7
H3x1	4	44-9
H3x	1	44-5
H3y	3	44-7
H3z1	2	44-7
H3z2	3	44-8
H3z	1	44-5
H4	3	44-6
H4a1	1	44-9
H4a1a1	1	44-11
H4a1a1a1	1	44-13
H4a1a1a1a1	2	44-16
H4a1a1a1a	1	44-14
H4a1a1a2	1	44-13
H4a1a1a3	2	44-14
H4a1a1a4	2	45-13
H4a1a1a	1	44-12
H4a1a2	1	44-11
H4a1a2a1	1	44-14
H4a1a2a	2	44-13
H4a1a3	1	44-12
H4a1a3a	1	44-13
H4a1a4	1	44-12
H4a1a4a	1	44-13
H4a1a4b1	1	44-15
H4a1a4b2	1	44-15
H4a1a4b	2	44-14
H4a1a5	1	44-11
H4a1a	1	44-10
H4a1a_T195C	1	44-11
H4a1c1	1	44-11
H4a1c1a	1	44-12
H4a1c2	2	44-12
H4a1c	1	44-10
H4a1d	2	44-11
H4a2	2	44-10
H4a	2	44-8
H4b1	3	44-10
H4b	1	44-7
H4c1	2	44-9
H4c	1	44-7
H4d	1	44-7
H5	1	44-5
H5'36	1	44-4
H5_C16192T	1	44-6
H5_G709A	1	44-6
H5_T16311C	1	44-6
H5a1	1	44-7
H5a1_T152C	1	45-7
H5a1_T16093C	1	44-8
H5a1a	1	44-8
H5a1b	1	44-8
H5a1c1	1	44-10
H5a1c1a	1	44-11
H5a1c2	2	44-11
H5a1c	2	44-9
H5a1d	1	44-8
H5a1e	1	44-8
H5a1f	1	44-8
H5a1g1	3	44-11
H5a1g1a	2	44-13
H5a1g2	1	44-9
H5a1g	1	44-8
H5a1h	1	44-8
H5a1i	2	44-9
H5a1j	1	44-8
H5a1k	1	44-8
H5a1m	1	45-8
H5a1n	1	45-8
H5a1p	1	44-9
H5a1q	1	44-8
H5a2	1	44-7
H5a2a	1	44-8
H5a3	2	44-8
H5a3a1	2	44-11
H5a3a2	1	45-10
H5a3a3	1	44-10
H5a3a	1	44-9
H5a3a_T152C	1	45-9
H5a3b	1	44-9
H5a4	2	44-8
H5a4a1	2	44-11
H5a4a1a	1	44-12
H5a4a	1	44-9
H5a5	2	44-8
H5a6	2	45-8
H5a6a	2	45-10
H5a7	2	44-8
H5a8	1	44-7
H5a9	1	44-7
H5a	1	44-6
H5a_T152C	1	45-6
H5b1	3	44-9
H5b2	2	44-8
H5b3	1	44-7
H5b4	4	44-10
H5b5	1	44-7
H5b	1	44-6
H5c1	1	44-7
H5c1a	1	44-8
H5c2	2	44-8
H5c	1	44-6
H5d	1	44-6
H5e1	2	44-8
H5e1a1	1	44-10
H5e1a	1	44-9
H5e1b	1	44-9
H5e	1	44-6
H5f	1	44-6
H5g	1	44-6
H5h	2	44-7
H5j	6	44-11
H5k	2	44-7
H5m	2	44-7
H5n	1	44-6
H5p	1	44-6
H5q	1	44-7
H5r1	1	44-10
H5r2	1	44-10
H5r	3	44-9
H5s	2	44-8
H5t	3	44-9
H5u1	3	44-9
H5u	1	44-6
H5v	1	44-7
H6	3	44-6
H6a1	1	44-9
H6a1a1	1	44-11
H6a1a1a	4	44-15
H6a1a2	1	44-11
H6a1a2a	1	44-12
H6a1a2b1	1	44-14
H6a1a2b	2	44-13
H6a1a3	1	44-11
H6a1a3a	1	44-12
H6a1a4	1	44-11
H6a1a5	1	44-11
H6a1a6	1	44-11
H6a1a7	2	44-12
H6a1a8	1	44-11
H6a1a8a	2	44-13
H6a1a9	1	44-11
H6a1a10	1	44-11
H6a1a	1	44-10
H6a1b1	5	44-15
H6a1b2	1	44-11
H6a1b2a	1	44-12
H6a1b2b	1	44-12
H6a1b2c	1	44-12
H6a1b2d	1	44-12
H6a1b2e	1	44-12
H6a1b3	3	44-13
H6a1b3a	2	44-15
H6a1b3b	1	44-14
H6a1b4	1	44-11
H6a1b	1	44-10
H6a2	1	44-9
H6a2a	1	44-10
H6a	2	44-8
H6b1	2	46-8
H6b2	1	44-9
H6b	2	44-8
H6c1	2	44-10
H6c	2	44-8
H7	1	44-4
H7a1	1	44-6
H7a1a	2	44-8
H7a1b	1	44-7
H7a1c	1	44-7
H7a1d	1	45-6
H7a2	2	44-7
H7a	1	44-5
H7b1	1	44-6
H7b2	1	44-6
H7b2a	1	44-7
H7b3	1	44-6
H7b4	1	44-6
H7b5	1	44-6
H7b6	1	44-6
H7b	1	44-5
H7c1	1	44-6
H7c2	1	44-6
H7c3	2	44-7
H7c4	1	44-6
H7c5	2	44-7
H7c6	2	44-7
H7c	1	44-5
H7d1	2	44-7
H7d2	2	45-6
H7d2a	1	45-7
H7d3	1	44-6
H7d3a	1	44-7
H7d4	4	44-9
H7d5	4	44-9
H7d	1	44-5
H7e	2	44-6
H7f	1	44-5
H7g	1	44-5
H7h1	1	44-6
H7h	1	44-5
H7i1	1	44-9
H7i	4	44-8
H8	4	44-9
H8_C114T	1	44-10
H8_C114T_T152C	1	45-10
H8a1	1	44-11
H8a	1	44-10
H8b1	1	44-12
H8b	1	44-11
H8c1	2	45-13
H8c2	3	45-14
H8c	1	45-11
H9	1	45-4
H9a	3	45-7
H10	1	44-4
H10_T16093C	1	44-5
H10a1	1	44-6
H10a1a1	1	44-8
H10a1a	1	44-7
H10a1b	4	44-10
H10a	1	44-5
H10b1	1	44-6
H10b	1	44-5
H10c1	2	44-8
H10c	2	44-6
H10d	1	44-5
H10e1	1	44-7
H10e1a	1	44-8
H10e2	1	44-7
H10e3	1	44-7
H10e3a	1	44-8
H10e	1	44-6
H10f	1	44-6
H10g	1	44-6
H10h	3	44-7
H11	3	44-7
H11a1	2	44-11
H11a2	2	44-11
H11a2a1	1	44-13
H11a2a2	3	44-15
H11a2a3	1	44-13
H11a2a	1	44-12
H11a3	1	44-10
H11a4	2	45-10
H11a5	1	44-10
H11a6	3	44-12
H11a7	1	45-10
H11a8	1	44-10
H11a	2	44-9
H11a_T152C	1	45-9
H11b1	1	44-9
H11b	1	44-8
H12	2	44-6
H12a	1	44-7
H13	1	44-4
H13a1	1	44-6
H13a1_T152C	1	45-6
H13a1a1	2	44-9
H13a1a1a	1	44-10
H13a1a1b	1	44-10
H13a1a1c	1	44-10
H13a1a1d1	1	44-14
H13a1a1d	4	44-13
H13a1a1e	1	44-10
H13a1a2	1	44-8
H13a1a2_T16311C	1	44-9
H13a1a2a	3	44-12
H13a1a2b	4	44-12
H13a1a3	1	44-8
H13a1a4	1	44-8
H13a1a5	1	44-8
H13a1a6	2	44-9
H13a1a	1	44-7
H13a1b	3	44-9
H13a1c	2	44-8
H13a1d	1	45-7
H13a2	1	44-6
H13a2a1	2	44-9
H13a2a	1	44-7
H13a2b1	3	44-10
H13a2b2	2	44-9
H13a2b2a	1	44-10
H13a2b3	2	44-9
H13a2b4	4	44-11
H13a2b5	2	44-9
H13a2b	1	44-7
H13a2c1	2	44-12
H13a2c	4	44-10
H13a	1	44-5
H13b1	2	44-8
H13b1_A200G	1	44-9
H13b1a	1	44-10
H13b1b	3	44-12
H13b2	2	44-8
H13b	2	44-6
H13c1	1	44-6
H13c1a	2	44-8
H13c2	3	44-8
H13c	1	44-5
H14	2	44-5
H14a1	1	44-9
H14a2	1	44-8
H14a2a	2	44-10
H14a2b	2	44-10
H14a2c	2	44-10
H14a	2	44-7
H14a_T146C	1	44-8
H14b1	3	45-9
H14b2	2	45-8
H14b2a	2	45-10
H14b3	2	45-8
H14b4	1	45-7
H14b	2	45-6
H15	3	44-6
H15a1	1	44-8
H15a1a1	1	44-10
H15a1a	1	44-9
H15a1b	4	45-11
H15a	1	44-7
H15b1	1	44-8
H15b2	2	44-9
H15b	1	44-7
H16	1	45-3
H16_T152C	1	46-3
H16a1	1	48-3
H16a	1	47-3
H16b	1	45-4
H16c	1	46-4
H16d	2	46-5
H16e	2	45-5
H17	1	44-5
H17a1	2	44-8
H17a2	1	44-7
H17a	1	44-6
H17b	1	44-6
H17c	3	44-8
H18	1	44-5
H18b	1	44-6
H19	2	44-6
H20	1	44-4
H20a1	1	44-6
H20a1a	2	44-8
H20a2	1	44-6
H20a	1	44-5
H20b	5	44-9
H20c	1	44-5
H21	4	44-7
H22	2	44-5
H23	1	44-4
H24	1	44-4
H24a1	2	44-7
H24a2	1	44-6
H24a	1	44-5
H24b	1	44-5
H25	1	44-4
H26	1	44-4
H26a1	1	44-6
H26a1a1	2	44-9
H26a1a	1	44-7
H26a1b	2	44-8
H26a	1	44-5
H26b	3	44-7
H26c	2	44-6
H27	2	44-6
H27_T16093C	1	44-7
H27a	1	44-8
H27b	1	44-8
H27c	1	44-7
H27d	1	44-7
H27e	1	44-6
H27f	2	44-8
H28	1	44-4
H28a1	2	44-8
H28a2	1	44-7
H28a	2	44-6
H29	3	45-5
H29a	1	45-6
H29b	1	45-6
H30	1	44-4
H30a	2	44-6
H30b1	3	45-7
H30b	1	44-5
H31	2	44-7
H31a	1	44-8
H31b	1	44-8
H32	2	45-5
H33	1	44-4
H33a	1	44-5
H33b	2	44-6
H33c	2	44-6
H34	1	44-5
H35	1	44-4
H35a	1	44-5
H36	5	45-8
H39	1	44-4
H39a1	1	44-7
H39a	2	44-6
H39b	1	44-5
H39c	1	44-5
H40	1	44-4
H40a	1	45-4
H40b	2	44-6
H41	1	44-4
H41a	4	44-8
H42	1	44-4
H42a1	1	44-7
H42a2	2	44-8
H42a	2	44-6
H43	1	44-4
H44	1	44-4
H44a1	2	44-8
H44a	2	44-6
H44b	2	44-6
H45	1	44-4
H45a	2	44-6
H45b	2	44-6
H46	1	45-4
H46a	2	45-6
H46b	1	45-5
H47	2	44-5
H47a	3	45-7
H48	1	44-4
H49	1	44-4
H49a1	1	44-6
H49a2	2	44-7
H49a	1	44-5
H49b	1	44-5
H50	1	44-4
H51	1	44-4
H51a	2	44-6
H52	1	45-4
H53	1	44-4
H54	1	44-4
H55	1	44-4
H55_A153G	1	44-5
H55a	2	44-6
H55b	1	44-6
H56	1	44-4
H56a1	1	44-6
H56a	1	44-5
H56b	1	44-5
H56c	1	44-5
H56d	1	44-5
H57	2	44-5
H58	1	44-4
H58a	1	44-5
H59	1	44-4
H59a	1	44-5
H60	1	44-4
H60a	1	44-5
H61	2	44-5
H61a	2	44-7
H62	1	44-4
H63	2	44-5
H63a	2	44-7
H64	1	44-5
H65	1	44-4
H65a	2	44-6
H66	1	44-4
H66a1	1	44-6
H66a	1	44-5
H67	1	44-4
H67a	2	44-6
H69	1	45-4
H70	1	44-4
H71	1	44-4
H72	3	44-6
H73	1	44-4
H73a1	1	44-8
H73a	3	44-7
H74	3	44-6
H75	2	45-4
H76	2	44-5
H76a	2	45-6
H77	2	45-4
H78	1	44-4
H79	1	44-4
H79a	1	44-5
H80	2	44-5
H81	1	44-4
H81a	5	44-9
H82	1	44-4
H83	1	44-4
H84	1	44-4
H85	2	44-6
H86	1	44-4
H87	1	44-4
H88	1	44-4
H89	3	44-6
H90	4	44-7
H91	1	44-5
H92	1	44-4
H93	1	44-4
H94	2	44-5
H95	1	44-4
H95a	3	44-7
H96	6	44-9
H100	1	44-4
H101	2	44-5
H102	2	44-5
H103	5	45-8
H104	1	44-4
H104a	5	44-9
H105	1	44-4
H105a	1	44-5
H106	2	44-5
H107	2	45-5
H108	1	44-5
H	2	44-3
HV0	2	42-5
HV0_T195C	1	42-6
HV0a1	2	42-8
HV0a1a	3	42-11
HV0a	1	42-6
HV0b	1	42-7
HV0c	1	42-7
HV0d	1	42-7
HV0e	3	42-9
HV0f	2	43-7
HV0g	3	42-9
HV1	2	42-5
HV1a1	3	42-10
HV1a1a	2	42-12
HV1a1b	2	42-12
HV1a2	1	42-8
HV1a2a	1	42-9
HV1a2b	1	42-9
HV1a3	2	42-9
HV1a3a	1	42-10
HV1a	1	42-7
HV1a'b'c	1	42-6
HV1b1	4	42-11
HV1b1a	2	42-13
HV1b1b	1	42-12
HV1b2	3	43-10
HV1b3	2	43-9
HV1b3a	6	43-15
HV1b3b	4	43-13
HV1b	1	42-7
HV1b_T152C	1	43-7
HV1c	1	42-7
HV1d	11	42-16
HV2	2	43-5
HV2a1	3	43-14
HV2a2	2	43-13
HV2a3	2	43-13
HV2a	6	43-11
HV4	1	42-4
HV4a1	1	42-6
HV4a1_C16291T	1	42-7
HV4a1a1	3	43-10
HV4a1a2	2	42-10
HV4a1a3	1	42-9
HV4a1a4	1	42-9
HV4a1a	1	42-8
HV4a2	2	42-7
HV4a2a	3	43-9
HV4a2b	1	42-8
HV4a	1	42-5
HV4b	2	42-6
HV4c	3	42-7
HV5	1	42-4
HV5a	1	42-5
HV5b	2	42-6
HV6	2	42-6
HV6a	4	42-10
HV7	3	42-7
HV8	1	42-5
HV9	1	42-5
HV9_T152C	1	43-5
HV9a1	2	43-8
HV9a1a	1	43-9
HV9a	1	43-6
HV9b	1	42-6
HV9c	2	43-6
HV10	1	42-5
HV11	1	42-5
HV11a	2	42-7
HV12	1	42-4
HV12a1	6	43-11
HV12a	2	42-6
HV12b1	1	42-7
HV12b1a	4	42-11
HV12b	2	42-6
HV13	1	42-4
HV13a	7	42-11
HV13b	1	42-5
HV14	2	42-6
HV14a	1	42-7
HV15	2	42-6
HV16	1	42-5
HV17	2	42-6
HV17a	1	42-7
HV18	2	42-5
HV19	3	42-6
HV20	1	42-5
HV21	1	42-4
HV22	3	42-7
HV23	1	42-5
HV24	1	42-5
HV	1	42-3
HV_A73G	1	42-4
HV_T16311C	1	42-4
H_C16291T	1	44-4
H_G13708A	1	44-4
H_G16129A	1	44-4
H_T152C	1	45-3
H_T195C	1	44-4
H_T195C_T146C	1	44-5
I1	4	39-21
I1a1	5	40-28
I1a1a1	1	40-30
I1a1a2	1	40-30
I1a1a3	1	40-30
I1a1a3a	1	40-31
I1a1a	1	40-29
I1a1b	1	40-29
I1a1c	1	40-29
I1a1d	4	40-32
I1a1e	1	40-29
I1a	3	39-24
I1b	1	39-22
I1c1	2	39-27
I1c1a	2	39-29
I1c	4	39-25
I1d	3	40-23
I1e	3	39-24
I1f	3	39-24
I2	1	39-20
I2'3	2	39-19
I2a1	2	39-24
I2a1a	1	39-25
I2a2	1	39-23
I2a3	2	39-24
I2a	2	39-22
I2b	3	39-22
I2c	2	39-22
I2d	1	39-21
I2e	1	39-21
I2f	1	39-21
I3	1	39-20
I3a1	1	39-22
I3a	1	39-21
I3b	2	39-22
I3c	1	39-21
I3d1	4	39-25
I3d	1	39-21
I4	1	38-19
I4a1	1	38-21
I4a2	1	38-21
I4a	1	38-20
I4b	3	38-22
I5	1	38-19
I5a1	2	38-22
I5a1a	1	38-23
I5a1b	3	39-24
I5a1c	1	38-23
I5a2	2	38-23
I5a2_T16086C	1	38-24
I5a2a	5	38-29
I5a3	7	38-28
I5a4	5	38-26
I5a	2	38-21
I5b1	3	39-22
I5b	2	38-21
I5c1	3	38-23
I5c	1	38-20
I6	1	38-19
I6a	6	38-25
I6b	2	38-21
I7	3	38-21
I	2	38-18
J1	2	39-15
J1_C16193T	1	39-16
J1b1	2	39-21
J1b1a1	1	39-26
J1b1a1_T146C	1	39-27
J1b1a1a	3	39-29
J1b1a1b	1	39-27
J1b1a1c	1	39-27
J1b1a1d	3	39-29
J1b1a1e	1	39-28
J1b1a2	5	39-30
J1b1a2a	2	39-32
J1b1a2b	1	39-31
J1b1a3	1	39-26
J1b1a	4	39-25
J1b1b1	1	39-23
J1b1b1a	2	39-25
J1b1b1b	1	39-24
J1b1b1c	6	39-29
J1b1b2	3	40-24
J1b1b3	1	39-23
J1b1b	1	39-22
J1b2	1	39-20
J1b2a	3	39-23
J1b3	2	39-21
J1b3a	1	39-22
J1b3b1	2	39-24
J1b3b	1	39-22
J1b4	1	39-20
J1b4a1	1	39-24
J1b4a2	1	39-24
J1b4a	3	39-23
J1b5	3	39-22
J1b5a1	1	39-27
J1b5a	4	39-26
J1b6	1	39-20
J1b6a	1	39-21
J1b6b	3	39-23
J1b7	2	39-21
J1b7a	1	39-22
J1b8	3	40-21
J1b9	3	39-22
J1b	4	39-19
J1c1	2	39-20
J1c1a	3	39-23
J1c1b1	1	39-22
J1c1b1a1	1	39-24
J1c1b1a	1	39-23
J1c1b2	2	39-23
J1c1b2a	2	39-25
J1c1b	1	39-21
J1c1c	2	39-22
J1c1d	1	39-21
J1c1e	2	39-22
J1c1f	2	39-22
J1c1g1	1	39-22
J1c1g	1	39-21
J1c1h	2	39-22
J1c2	1	39-19
J1c2a1	2	39-22
J1c2a1a	1	39-23
J1c2a2	2	39-22
J1c2a3	2	39-22
J1c2a	1	39-20
J1c2b1	3	39-23
J1c2b2	1	39-21
J1c2b3	3	39-23
J1c2b4	1	39-21
J1c2b5	1	39-21
J1c2b	1	39-20
J1c2c1	1	39-24
J1c2c1a	3	39-27
