hGrp	HG00096
O2b	3	613-73
O2b1	2	613-75
O2b1a	5	613-78
P/K2b2	4	616-0
P1/K2b2a	19	631-0
Q/K2b2a1	27	631-17
Q1	4	631-21
Q1a	42	631-50
Q1a1	24	631-66
Q1a1a	1	631-67
Q1a1a1	2	631-69
Q1a1b	2	631-68
Q1a1b1	1	631-69
Q1a2	6	631-56
Q1a2a	6	631-62
Q1a2a1	1	631-63
Q1a2a1a	2	631-65
Q1a2a1a1	1	631-66
Q1a2a1b	3	631-66
Q1b	191	631-148
T1a2b	3	612-81
T1a2b1	2	612-83
T1a2b1a	2	612-84
Q1b1a1a2a1	4	631-149
Q1b2	104	631-221
Q1b2a1	7	631-224
Q1b2a1a	2	631-225
Q1b2a1a1	9	631-230
R/K2b2a2	9	639-0
R1	12	650-0
R1a	4	650-4
R1a1	3	650-7
R1a1a	6	650-13
R1a1a1	2	650-15
R1a1a1a	1	650-16
R1a1a1b	2	650-17
R1a1a1b1	1	650-18
R1a1a1b1a	1	650-19
R1a1a1b1a1b	1	650-20
R1a1a1b1a2	2	650-20
R1a1a1b1a2a	3	650-23
R1a1a1b1a2a2	1	650-24
R1a1a1b1a2b	1	650-21
R1a1a1b1a2b1	1	650-22
R1a1a1b1a2b3	1	650-22
R1a1a1b1a3	2	650-21
R1a1a1b1a3a	1	650-22
R1a1a1b1a3a1	1	650-23
R1a1a1b1a3a1c	3	650-26
R1a1a1b1a3b	2	650-23
R1a1a1b1a3b1a	3	650-26
R1a1a1b1a3c	1	650-22
R1a1a1b2	1	650-18
R1a1a1b2a1	1	650-19
R1a1a1b2a1a	1	650-20
R1a1a1b2a1b	1	650-20
R1a1a1b2a2a	1	650-19
R1a1a1b2a2b	1	650-19
R1a1a1b2a2b1	1	650-20
R1a1a1b2a2b1a	1	650-21
R1a1a1b2a2b2	1	650-20
R1b	1	651-0
R1b1	5	652-0
R1b1a	2	653-0
R1b1a2	40	679-0
R1b1a2a	2	680-0
R1b1a2a1	1	681-0
R1b1a2a1a	5	686-0
R1b1a2a1a1	1	686-1
R1b1a2a1a1a	7	686-7
R1b1a2a1a1b	7	686-5
R1b1a2a1a1b1a	1	686-6
R1b1a2a1a1b1a1a	4	686-10
R1b1a2a1a1b1b	1	686-6
R1b1a2a1a1c	1	686-2
R1b1a2a1a1c1	1	686-3
R1b1a2a1a1c1a	4	686-5
R1b1a2a1a1c1a2	1	686-6
R1b1a2a1a1c1a2a	1	686-7
R1b1a2a1a1c1b	1	686-4
R1b1a2a1a1c2	1	686-3
R1b1a2a1a1c2b	1	686-4
R1b1a2a1a1c2b1	1	686-5
R1b1a2a1a1c2b1a1a1	3	686-8
R1b1a2a1a1c2b1b	3	686-7
R1b1a2a1a1c2b2	4	686-7
R1b1a2a1a1c2b2a	1	686-8
R1b1a2a1a1c2b2a1	1	686-9
R1b1a2a1a1c2b2a1a	2	686-11
R1b1a2a1a1c2b2a1a1	9	686-20
R1b1a2a1a1c2b2a1a1a	1	686-21
R1b1a2a1a1c2b2a1a1a1	1	686-22
R1b1a2a1a1c2b2a1a1b1	1	686-21
R1b1a2a1a1c2b2a1a1b1a	1	686-22
R1b1a2a1a1c2b2a1a1b1a1	1	686-23
R1b1a2a1a1c2b2a1a1b2	1	686-21
R1b1a2a1a1c2b2a1a1b2a	1	686-22
R1b1a2a1a1c2b2a1a1b2a1	1	686-23
R1b1a2a1a1c2b2a1a1b2a1a	1	686-24
R1b1a2a1a1c2b2a1a1b2b	1	686-22
R1b1a2a1a1c2b2a1a1b2b1	1	686-23
R1b1a2a1a1c2b2a1a2	1	686-12
R1b1a2a1a1c2b2b	3	686-9
R1b1a2a1a1c2b2b1	1	686-10
R1b1a2a1a1c2b2b1a	3	686-13
R1b1a2a1a1c2b2b1a1	3	686-15
I2c	23	609-141
R1b1a2a1a1d1	1	686-2
R1b1a2a1a2	1	687-0
R1b1a2a1a2a	1	687-1
R1b1a2a1a2a1	1	687-2
R1b1a2a1a2a1a1	2	687-4
R1b1a2a1a2a1a1a	1	687-5
R1b1a2a1a2a1a1a1	2	687-6
R1b1a2a1a2a1a1a1a	1	687-7
R1b1a2a1a2a1a1a1a1	1	687-8
R1b1a2a1a2a1a1a2	1	687-6
R1b1a2a1a2a1a2	1	687-3
R1b1a2a1a2a1b	1	687-3
R1b1a2a1a2a1b1	1	687-4
R1b1a2a1a2a1b1a1	1	687-5
R1b1a2a1a2a1b2	1	687-4
R1b1a2a1a2a1b3	1	687-4
R1b1a2a1a2a5	1	687-2
R1b1a2a1a2a6	1	687-2
R1b1a2a1a2b	1	687-1
O2a2a1a1	1	613-98
R1b1a2a1a2b1a1	1	687-3
R1b1a2a1a2b1a2a	1	687-3
R1b1a2a1a2b1a2a1	1	687-4
R1b1a2a1a2b1c1	1	687-2
R1b1a2a1a2b1c1a	2	687-3
R1b1a2a1a2b1c1a1a1	4	687-6
R1b1a2a1a2b1c1a1a1a	4	687-9
R1b1a2a1a2b1c1a1a1a1	1	687-10
R1b1a2a1a2b1c1a1a1a2	1	687-10
R1b1a2a1a2b1c1a1b	1	687-4
R1b1a2a1a2b1c1b	3	687-4
R1b1a2a1a2b1c1b1	1	687-5
R1b1a2a1a2b1c1b1a	1	687-6
R1b1a2a1a2b1c1b1a2	1	687-7
R1b1a2a1a2b1c1b1a2a	1	687-8
R1b1a2a1a2b1c1b2	1	687-5
R1b1a2a1a2b1c1b2a1	1	687-6
R1b1a2a1a2b1c1b3	5	687-9
R1b1a2a1a2b1c1b3a	1	687-10
R1b1a2a1a2b1c2b1a	4	687-2
R1b1a2a1a2b1c2b1a2	1	687-3
R1b1a2a1a2b3	1	687-2
R1b1a2a1a2b3c	3	687-5
R1b1a2a1a2c	3	689-0
R1b1a2a1a2c1	2	691-0
R1b1a2a1a2c1a	1	691-1
R1b1a2a1a2c1a1a	1	691-2
R1b1a2a1a2c1a1a1	1	691-3
R1b1a2a1a2c1a1a1a	1	691-4
R1b1a2a1a2c1a1a1a1	1	691-5
R1b1a2a1a2c1a1a1a1a	1	691-6
R1b1a2a1a2c1a1a1a1a1a	2	691-7
R1b1a2a1a2c1a1a1a1a1a2a1	1	691-8
R1b1a2a1a2c1b	6	691-3
R1b1a2a1a2c1b1b1a	11	691-5
R1b1a2a1a2c1g1a1	1	691-2
R1b1a2a1a2c1b1b3	25	691-4
R1b1a2a1a2c1b2a	17	691-12
C1b1	1	578-15
R1b1a2a1a2c1b2b	1	691-4
R1b1a2a1a2c1b2b1	12	691-8
R1b1a2a1a2c1b2b2a1	6	691-5
R1b1a2a1a2c1c	1	691-1
R1b1a2a1a2c1c1b	10	691-5
R1b1a2a1a2c1c1b1a2a1b1	1	691-6
R1b1a2a1a2c1c1b1a2a1b1a	3	691-7
R1b1a2a1a2c1c1b1a4c	1	691-6
R1b1a2a1a2c1c1b1b1	7	691-6
R1b1a2a1a2c1c1b1c1	4	691-6
R1b1a2a1a2c1d	1	691-1
R1b1a2a1a2c1e	1	691-1
R1b1a2a1a2c1f	1	691-1
R1b1a2a1a2c1f2	1	691-2
R1b1a2a1a2c1f2c	3	691-3
R1b1a2a1a2c1f2c1	1	691-4
R1b1a2a1a2c1f2c1a	2	691-6
