hGrp	HG00096
C4b	1	321-155.7
C4c1	1	321-171
C4c1a	2	321-185.3
C4c1b	1	321-173
C4c2	8	331-214.4
C4c	2	321-163.7
C4d	3	312-175.2
C4e	3	312-168.4
C5	2	321-131.3
C5_T16093C	1	321-134.5
C5a1	2	331-158.7
C5a2	3	331-158
C5a2a	1	331-163.8
C5a2b1	1	331-166.7
C5a2b	1	331-160
C5a	3	331-141.1
C5b1	1	331-136
C5b1a1	1	331-154.7
C5b1a	2	331-150.3
C5b1b1	1	331-174.5
C5b1b	4	331-165.7
C5b	1	331-131.3
C5c1	1	321-152
C5c1a	1	321-160.8
C5c	3	321-147.1
C5c_C16234T	1	321-151
C5d1	3	321-161.4
C5d2	2	321-163.3
C5d	1	321-143.3
C7	2	311-142.4
C7_A16051G	1	311-146.9
C7a1	3	311-164.9
C7a1a1	4	321-199.4
C7a1a2	5	311-203.8
C7a1a	2	311-177.5
C7a1c	2	311-181
C7a1d	4	311-191.2
C7a2	2	321-150
C7a2a	4	321-171.5
C7a	1	311-148
C7b	3	311-169.6
C	6	311-125.7
CZ	1	311-89.9
D1	2	311-106.2
D1a1	5	311-143.5
D1a2	6	311-145.1
D1a	1	311-112.9
D1b	4	311-140.8
D1c	2	311-125
D1d1	1	311-126.7
D1d2	2	311-129.1
D1d	2	311-121.3
D1e	3	311-122.6
D1f1	4	311-143.5
D1f2	2	312-121.6
D1f3	2	311-132.1
D1f	1	311-116.2
D1f_T16189C	1	311-118.2
D1g1	5	312-136.4
D1g1a	1	312-141.8
D1g1b	1	312-142.7
D1g2	2	311-134.7
D1g2a	4	321-149.9
D1g3	1	311-129.6
D1g4	9	311-175.5
D1g5	7	311-174.5
D1g6	6	321-152.2
D1g	2	311-120.8
D1g_T16189C	1	311-122.8
D1h1	3	311-130.3
D1h2	4	311-141.9
D1h	2	311-113.3
D1i1	3	311-146.8
D1i2	5	311-146.9
D1i	2	311-122.4
D1j1	1	312-123.6
D1j1a1	1	312-149.8
D1j1a2	4	312-174.6
D1j1a	3	312-148.8
D1j	3	312-113.6
D1k	1	311-112.1
D1m	4	311-133.5
D1n	1	311-112.7
D2	2	311-133
D2a1	1	311-164.3
D2a1a	1	311-165.3
D2a1b	2	311-177
D2a2	1	311-163.7
D2a	1	311-157
D2a'b	2	311-148.9
D2b1	1	311-167.9
D2b1a	1	311-175.5
D2b2	2	311-172.3
D2b	2	311-157.9
D2c	4	311-162.7
D3	4	311-187
D4	3	311-91.7
D4_T195C	1	311-93.7
D4a1	1	312-126
D4a1a1	1	312-138.9
D4a1a1a	1	312-148.9
D4a1a	1	312-133.3
D4a1b1	1	312-138.6
D4a1b	1	312-132.5
D4a1c	1	312-134.1
D4a1d	1	312-132.5
D4a1e1	2	312-148.5
D4a1e	2	312-136.8
D4a1f1	1	312-142.9
D4a1f	1	312-134.1
D4a1g	1	312-136
D4a1h	1	312-131.8
D4a2	1	312-126
D4a2a	3	312-149
D4a2b	1	312-134.8
D4a3	2	312-133.5
D4a3a1	2	312-149.4
D4a3a2	5	312-176.7
D4a3a	1	312-140.8
D4a3b1	3	312-164.3
D4a3b2	3	312-159.4
D4a3b	1	312-141.6
D4a4	4	312-148.8
D4a5	2	312-131.6
D4a6	3	312-140.3
D4a7	5	312-156.8
D4a8	3	312-133.7
D4a	5	312-119
D4a_C16294T	1	312-123.3
D4b1	4	311-127.6
D4b1a1	7	312-185.9
D4b1a1a	1	312-193.5
D4b1a2	2	311-153.3
D4b1a2a1	1	311-170.6
D4b1a2a2	2	311-176.9
D4b1a2a	1	311-163.3
D4b1a	1	311-135.7
D4b1b1	2	311-170.5
D4b1b1a1	1	311-186.8
D4b1b1a	2	311-180.9
D4b1b2	2	311-153.9
D4b1b	2	311-152.9
D4b1b'd	1	311-132.9
D4b1c	3	311-151.3
D4b1d	8	322-183.5
D4b2	3	311-107.7
D4b2a1	3	311-134.8
D4b2a2	2	311-132.2
D4b2a2a1	1	311-147.9
D4b2a2a2	1	311-149.8
D4b2a2a	2	311-144.2
D4b2a2b	1	311-142.2
D4b2a	1	311-117.7
D4b2b1	1	311-130.7
D4b2b1_T146C	1	311-132.5
D4b2b1a	1	311-136.2
D4b2b1b	2	311-147.6
D4b2b1c	1	311-139.5
D4b2b1d	1	311-140.6
D4b2b2	1	311-128.7
D4b2b2a1	1	311-141.4
D4b2b2a	1	311-131.4
